800,"Neoplasias, NOS"
8120/2,"Neoplasia intraepitelial anal, grado III"
8120/3,AIN III
8120/3,"Neoplasia intraepitelial cervical, grado III"
8120/3,"CIN III, NOS"
8120/3,CIN III con displasia grave
8121/0,"Neoplasia intraepitelial escamosa esofágica (displasia), grado alto"
8121/0,"Neoplasia intraepitelial vaginal Neoplasia, grado III"
8121/0,VAIN III
8121/0,"Neoplasia intraepitelial vulvar, grado III"
8121/0,VIN III
8121/0,Carcinoma de células escamosas con formación de cuernos
8121/0,Eritroplasia de Queyrat
8121/1,Enfermedad de Bowen
8121/1,"Carcinoma de células escamosas intraepidérmico, tipo Bowen"
8121/1,Carcinoma linfoepitelial
8121/1,Linfoepitelioma
8121/1,Carcinoma similar al linfoepitelioma
8121/1,Tumor de Schmincke
8121/3,Carcinoma de células escamosas basaloides
8121/3,Carcinoma papilar-basaloideo
8122/3,Acantoma de células claras
8122/3,"Carcinoma de células escamosas, tipo de células claras"
8122/3,"Carcinoma de células escamosas, HPV positivo"
8122/3,"Carcinoma de células escamosas, HPV negativo"
8123/3,Neoplasias de células basales
8124/3,Tumor de células basales
8130/1,"Carcinoma de células basales, NOS"
8130/1,Epiteloma de células basales
8130/2,Úlcera de roedor
8130/2,Carcinoma de células basales pigmentado
8130/3,Carcinoma de células basales con diferenciación anexial
8130/3,Carcinoma de células basales superficial
8131/3,Carcinoma de células basales superficial multifocal
8131/3,Carcinoma de células basales multicéntrico
814-838,"Carcinoma de células basales infiltrante, NOS"
8140/0,"Carcinoma basocelular infiltrante, no esclerosante"
8140/1,"Carcinoma basocelular infiltrante, esclerosante"
8140/1,"Carcinoma basocelular, tipo desmoplásico"
8140/2,"Carcinoma basocelular, morfeico"
8140/3,"Carcinoma basocelular, sarcomatoide"
8140/3,"Carcinoma basocelular, fibroepitelial"
8140/3,"Fibroepitelioma, NOS"
8140/3,Fibroepitelioma de tipo Pinkus
8140/3,"Carcinoma basocelular fibroepitelial, tipo Pinkus"
8140/3,Tumor de Pinkus
8140/6,Carcinoma basoescamoso
8141/3,Carcinoma basoescamoso mixto
8141/3,Carcinoma metatípico
8141/3,Epitelioma intraepidérmico de Jadassohn
8142/3,"Carcinoma basocelular, nodular"
8143/3,"Carcinoma basocelular, micronodular"
8144/0,Carcinoma basal adenoide
8144/3,Tricoepitelioma
8144/3,Tumor de Brooke
8144/3,Epitelioma adenoide quístico
8144/3,Tricoblastoma
8145/3,Trichogerminoma
8145/3,Carcinoma tricoblástico
8146/0,Carcinoma tricoblástico carcinosarcoma
8147/0,Trichofoliculoma
8147/3,Trichilemoma
8147/3,Trichilemocarcinoma
8148/0,Carcinoma triquilemal
8148/0,Tumor pilar
8148/0,Quiste triquilemal proliferante
8148/0,Tumor triquilemal proliferante
8148/0,Acantoma de la vaina pilar
8148/2,Tumor del infundíbulo folicular
8148/2,"Pilomatricoma, NOS"
8148/2,"Pilomatrixoma, NOS"
8148/2,Epitelioma calcificante de Malherbe
8148/2,Matricoma melanocítico
8148/2,"Displasia glandular esofágica (neoplasia intraepitelial), alto grado"
8148/2,"Neoplasia intraepitelial esofágica, alto grado"
8148/2,"Neoplasia intraepitelial prostática, grado III"
8148/2,PIN III
8148/2,"Neoplasia intraepitelial prostática, alto grado"
8149/0,Adenoma canalicular
8150/0,Microadenoma neuroendocrino pancreático
8150/0,"Tumor endocrino pancreático, benigno"
8150/0,"Tumor de células de los islotes, benigno"
8150/0,Microadenoma pancreático
8150/3,"Tumor neuroendocrino pancreático, no funcional"
8150/3,"Tumor endocrino pancreático, no funcional"
8150/3,"Tumor endocrino pancreático, NOS"
8150/3,Adenoma de células de los islotes
8150/3,Adenomatosis de células de los islotes
8150/3,Nesidioblastoma
8150/3,"Tumor de células de los islotes, NOS"
8150/3,Adenocarcinoma de células de los islotes
8150/3,Carcinoma de células de los islotes
8151/3,"Insulinoma, NOS"
8151/3,Adenoma de células beta
8151/3,Tumor de células beta
8152/3,Glucagonoma
8152/3,Tumor de células alfa
8152/3,Enteroglucagonoma
8152/3,Tumor productor de péptido similar al glucagón
8152/3,Tumor de células L Tumor
8152/3,Péptido pancreático y péptido similar al péptido pancreático dentro del tumor productor de amida de tirosina terminal
8152/3,Tumor productor de PP/PYY
8153/3,Gastrinoma
8153/3,Tumor de células G
8153/3,Tumor de células de gastrina
8154/3,Neoplasia neuroendocrina mixta no neuroendocrina (MiNEN)
8154/3,"Tumor pancreático mixto endocrino y exocrino, maligno"
8154/3,Adenocarcinoma mixto de células de los islotes y exocrino
8154/3,Carcinoma mixto acinar-endocrino
8154/3,Carcinoma mixto acinar-neuroendocrino
8154/3,Carcinoma mixto acinar-endocrino-ductal
8154/3,Carcinoma mixto ductal-endocrino
8154/3,Carcinoma mixto ductal-neuroendocrino
8154/3,Adenocarcinoma mixto endocrino y exocrino
8155/3,Vipoma
8156/3,Somatostatinoma
8156/3,Tumor de células de somatostatina
8158/3,Tumor productor de ACTH
8158/3,"Tumor endocrino, funcional, NOS"
8160/0,Adenoma de las vías biliares
8160/0,Colangioma
8160/3,Colangiocarcinoma
8160/3,Vías biliares adenocarcinoma
8160/3,Carcinoma de los conductos biliares
8161/0,Cistoadenoma de los conductos biliares
8161/3,Cistoadenocarcinoma de los conductos biliares
8162/3,Colangiocarcinoma perihiliar
8162/3,Tumor de Klatskin
8163/0,Neoplasia pancreatobiliar no invasiva
8163/0,Neoplasia papilar pancreatobiliar no invasiva con displasia de bajo grado
8163/0,Neoplasia papilar pancreatobiliar no invasiva con neoplasia intraepitelial de bajo grado
8163/2,"Neoplasia papilar, tipo pancreatobiliar, con neoplasia intraepitelial de alto grado"
8163/2,Neoplasia papilar pancreatobiliar no invasiva con displasia de alto grado
8163/2,Neoplasia papilar pancreatobiliar no invasiva con neoplasia intraepitelial de alto grado
8163/3,Carcinoma de tipo pancreatobiliar
8163/3,"Adenocarcinoma, tipo pancreatobiliar"
8170/0,Adenoma de células hepáticas
8170/0,Adenoma hepatocelular
8170/0,"Hepatoma, benigno"
8170/3,"Carcinoma hepatocelular, NOS"
8170/3,"Hepatoma, NOS"
8170/3,Hepatocarcinoma
8170/3,"Hepatoma, maligno"
8170/3,Carcinoma de células hepáticas
8171/3,"Carcinoma hepatocelular, fibrolamelar"
8172/3,"Carcinoma hepatocelular, escirro"
8172/3,Carcinoma hepático esclerosante
8173/3,"Carcinoma hepatocelular carcinoma, variante de células fusiformes"
8173/3,Carcinoma hepatocelular sarcomatoide
8174/3,"Carcinoma hepatocelular, tipo de células claras"
8175/3,"Carcinoma hepatocelular, tipo pleomórfico"
8180/3,Carcinoma hepatocelular combinado y colangiocarcinoma
8180/3,Hepatocolangiocarcinoma
8180/3,Carcinoma hepatocelular mixto y de conducto biliar
8190/0,Adenoma trabecular
8190/3,Adenocarcinoma trabecular
8190/3,Carcinoma trabecular
8191/0,Adenoma embrionario
8200/0,Cilindroma dérmico ecrino
8200/0,Cilindroma de piel
8200/0,Cilindroma de mama
8200/0,Tumor en turbante
8200/3,Carcinoma adenoide quístico
8200/3,"Cilindroma, NOS"
8200/3,"Adenocarcinoma, cilindroide"
8200/3,Carcinoma adenoquístico
8200/3,"Adenoma bronquial, cilindroide"
8200/3,Carcinoma tímico con características similares al carcinoma adenoide quístico
8201/2,Carcinoma cribiforme in situ
8201/2,"Carcinoma ductal in situ, tipo cribiforme"
8201/3,"Carcinoma cribiforme, NOS"
8201/3,"Carcinoma ductal, tipo cribiforme"
8201/3,Tipo comedón cribiforme carcinoma
8201/3,"Adenocarcinoma, tipo comedón cribiforme"
8202/0,Adenoma microquístico
8204/0,Adenoma lactante
8210/0,"Pólipo adenomatoso, NOS"
8210/0,Adenoma polipoide
8210/2,Adenocarcinoma in situ en pólipo adenomatoso
8210/2,"Adenocarcinoma in situ en pólipo, NOS"
8210/2,"Carcinoma in situ en pólipo, NOS"
8210/2,Adenocarcinoma in situ en adenoma polipoide
8210/2,Adenocarcinoma in situ en adenoma tubular
8210/2,Carcinoma in situ en pólipo adenomatoso
8210/3,"Adenocarcinoma en pólipo, NOS"
8210/3,"Carcinoma en pólipo, NOS"
8210/3,Adenocarcinoma en adenoma polipoide
8210/3,Adenocarcinoma en ade
8210/3,Adenocarcinoma en adenoma tubular
8210/3,Carcinoma en pólipo adenomatoso
8211/0,"Adenoma tubular, NOS"
8211/3,Adenocarcinoma tubular
8211/3,Carcinoma tubular
8212/0,Adenoma plano
8213/0,"Adenoma serrado, NOS"
8213/0,Adenoma serrado tradicional
8213/0,Pólipo adenomatoso e hiperplásico mixto
8213/0,"Adenoma serrado sésil, NOS"
8213/0,Pólipo serrado sésil
8213/0,Adenoma serrado sésil tradicional
8213/3,Adenocarcinoma serrado
8214/3,Carcinoma de células parietales
8214/3,Adenocarcinoma de células parietales
8215/3,Adenocarcinoma de glándulas anales
8215/3,Adenocarcinoma de conductos anales
8220/0,Poliposis adenomatosa del colon
8220/0,"Adenomatosis, NOS"
8220/0,Poliposis familiar del colon
8220/3,Adenocarcinoma en poliposis adenomatosa del colon
8221/0,Múltiples pólipos adenomatosos
8221/3,Adenocarcinoma en múltiples pólipos adenomatosos
8230/2,"Carcinoma ductal in situ, tipo sólido"
8230/2,"Carcinoma intraductal, tipo sólido"
8230/3,"Carcinoma sólido, NOS"
8230/3,"Carcinoma sólido adenocarcinoma, NOS"
8230/3,Carcinoma sólido con formación de mucina
8230/3,Adenocarcinoma sólido con formación de mucina
8231/3,Carcinoma simple
8240/3,"Tumor neuroendocrino, NOS"
8240/3,"Tumor carcinoide, NOS"
8240/3,"Carcinoide, NOS"
8240/3,"Adenoma bronquial, carcinoide"
8240/3,"Carcinoma neuroendocrino, grado bajo"
8240/3,"Carcinoma neuroendocrino, bien diferenciado"
8240/3,"Tumor neuroendocrino, grado 1"
8240/3,Carcinoide típico
8241/3,Carcinoide de células enterocromafines
8241/3,Argentafinoma
8241/3,"Tumor carcinoide, argentafín"
8241/3,Carcinoide de células EC
8241/3,Carcinoide productor de serotonina
8241/3,Tumor productor de serotonina
8242/3,Tumor de células tipo enterocromafines
8242/3,Carcinoide de células ECL
8243/3,Carcinoide de células caliciformes
8243/3,Carcinoide mucinoso
8243/3,Tumor mucocarcinoide
8244/3,Carcinoma adenoneuroendocrino mixto
8244/3,Carcinoide y adenocarcinoma combinados
8244/3,Carcinoide y adenocarcinoma mixtos
8244/3,Carcinoide compuesto
8244/3,MANEC
8244/3,Carcinoide mixto-adenocarcinoma
8245/1,Carcinoide tubular
8245/3,Tumor adenocarcinoide
8246/3,"Carcinoma neuroendocrino, NOS"
8246/3,Neoplasia neuroendocrina pobremente diferenciada
8247/3,Carcinoma de células de Merkel
8247/3,Tumor de células de Merkel
8247/3,Carcinoma neuroendocrino cutáneo primario
8248/1,Apudoma
8249/3,"Tumor neuroendocrino, grado 2"
8249/3,Tumor carcinoide atípico
8249/3,"Carcinoma neuroendocrino, moderadamente diferenciado"
8249/3,"Tumor neuroendocrino, grado 3"
8250/0,Hiperplasia adenomatosa atípica
8250/1,Adenomatosis pulmonar
8250/2,"Adenocarcinoma in situ de pulmón, no mucinoso"
8250/3,Adenocarcinoma lepídico
8250/3,"Adenocarcinoma bronquioloalveolar, NOS"
8250/3,"Carcinoma bronquioloalveolar, NOS"
8250/3,Carcinoma de células alveolares
8250/3,Adenocarcinoma bronquiolar
8250/3,Carcinoma bronquiolar carcinoma
8251/0,Adenoma alveolar
8251/3,Adenocarcinoma alveolar
8251/3,Carcinoma alveolar
8252/3,"Carcinoma bronquioloalveolar, no mucinoso"
8252/3,"Carcinoma bronquioloalveolar, de células de Clara"
8252/3,"Carcinoma bronquioloalveolar, de tipo neumocito II"
8253/2,"Adenocarcinoma in situ de pulmón, mucinoso"
8253/3,"Adenocarcinoma de pulmón, mucinoso"
8253/3,"Carcinoma bronquioloalveolar, mucinoso"
8253/3,"Carcinoma bronquioloalveolar, de tipo de células caliciformes"
8254/3,"Adenocarcinoma de pulmón, mixto mucinoso y no mucinoso"
8254/3,"Carcinoma bronquioloalveolar, mixto mucinoso y no mucinoso"
8254/3,"Carcinoma bronquioloalveolar, de tipo de células de Clara y caliciformes"
8254/3,"Carcinoma bronquioloalveolar, de tipo indeterminado"
8254/3,"Carcinoma bronquioloalveolar, de tipo neumocito y de células caliciformes tipo II"
8255/3,Adenocarcinoma con Subtipos
8255/3,Adenocarcinoma combinado con otros tipos de carcinoma
8256/3,"Adenocarcinoma mínimamente invasivo, no mucinoso"
8257/3,"Adenocarcinoma mínimamente invasivo, mucinoso"
8260/0,"Adenoma papilar, NOS"
8260/0,Papiloma glandular
8260/1,Tumor papilar agresivo
8260/3,"Adenocarcinoma papilar, NOS"
8260/3,Carcinoma papilar de tiroides
8260/3,Carcinoma papilar de células renales
8261/0,"Adenoma velloso, NOS"
8261/0,Papiloma velloso
8261/2,Adenocarcinoma in situ en adenoma velloso
8261/3,Adenocarcinoma en adenoma velloso
8262/3,Adenocarcinoma velloso
8263/0,"Adenoma tubulovelloso, NOS"
8263/0,Adenoma villoglandular
8263/0,Adenoma papilotubular
8263/0,Adenoma tubulopapilar
8263/2,Adenocarcinoma in situ en adenoma tubulovelloso
8263/3,Adenocarcinoma en adenoma tubulovelloso
8263/3,Carcinoma villoglandular
8263/3,Variante villoglandular del adenocarcinoma endometrioide
8263/3,Adenoma papilotubular adenocarcinoma
8263/3,Adenocarcinoma tubulopapilar
8264/0,Papilomatosis glandular
8264/0,Papilomatosis biliar
8265/3,"Carcinoma micropapilar, NOS"
8265/3,Adenocarcinoma micropapilar
8270/0,Adenoma cromófobo
8270/3,Carcinoma cromófobo
8270/3,Adenocarcinoma cromófobo
8271/0,Adenoma lactotropo
8271/0,Prolactinoma
8272/0,"Adenoma hipofisario, NOS"
8272/0,Adenoma corticotropo
8272/0,Adenoma de células nulas
8272/0,Adenoma plurihormonal
8272/0,Adenoma gonodotropo
8272/0,Adenoma somatotropo
8272/0,Adenoma tirotropo
8272/0,"Adenoma hipofisario, ectópico"
8272/3,"Carcinoma hipofisario, NOS"
8273/3,Blastoma hipofisario
8280/0,Adenoma acidófilo
8280/0,Adenoma eosinófilo
8280/3,Carcinoma acidófilo
8280/3,Adenocarcinoma acidófilo
8280/3,Adenocarcinoma eosinófilo
8280/3,Carcinoma eosinófilo
8281/0,Adenoma mixto acidófilo-basófilo
8281/3,Carcinoma mixto acidófilo-basófilo
8290/0,Adenoma oxifílico
8290/0,Oncocítico adenoma
8290/0,Oncocitoma
8290/0,"Adenoma folicular, célula oxifílica"
8290/0,Adenoma de células de Hürthle
8290/0,Tumor de células de Hürthle
8290/0,Oncocitoma de células fusiformes
8290/0,Cistoadenoma papilar oncocítico
8290/3,Adenocarcinoma oxifílico
8290/3,Adenocarcinoma oncocítico
8290/3,Carcinoma oncocítico
8290/3,Carcinoma de células de Hürthle
8290/3,Adenocarcinoma de células de Hürthle
8290/3,"Carcinoma folicular, célula oxifílica"
8300/0,Adenoma basófilo
8300/0,Adenoma de células mucoides
8300/3,Carcinoma basófilo
8300/3,Adenocarcinoma basófilo
8300/3,Adenocarcinoma de células mucoides
8310/0,Adenoma de células claras
8310/3,"Adenocarcinoma de células claras, NOS"
8310/3,"Carcinoma de células claras, NOS"
8310/3,"Adenocarcinoma de células claras, mesonefroide"
8310/3,"Carcinoma de células renales de células claras, NOS"
8311/1,Tumor hipernefroide
8311/3,Carcinoma de células renales asociado al síndrome de leiomiomatosis hereditaria y carcinoma de células renales (HLRCC)
8311/3,Carcinoma de translocación de la familia MiT
8311/3,Carcinoma de células renales deficiente en succinato deshidrogenasa carcinoma
8312/3,"Carcinoma de células renales, NOS"
8312/3,Adenocarcinoma de células renales
8312/3,"Carcinoma de células renales, no clasificado"
8312/3,Tumor de Grawitz
8312/3,Hipernefroma
8313/0,Adenofibroma de células claras
8313/0,Cistoadenofibroma de células claras
8313/1,"Tumor de células claras, proliferativo atípico"
8313/1,Tumor quístico de células claras de malignidad limítrofe
8313/1,Adenofibroma de células claras de malignidad limítrofe
8313/1,Cistoadenofibroma de células claras de malignidad limítrofe
8313/1,Adenocarcinofibroma de células claras
8313/3,Cistoadenocarcinofibroma de células claras
8313/3,Cistoadenocarcinofibroma de células claras
8314/3,Carcinoma rico en lípidos
8315/3,Carcinoma rico en glucógeno
8315/3,Carcinoma de células claras rico en glucógeno
8316/1,Neoplasia renal quística multilocular de bajo potencial maligno
8316/3,Carcinoma de células renales asociado a quistes
8316/3,Carcinoma de células renales asociado a enfermedad quística adquirida
8316/3,Carcinoma de células renales tubuloquístico
8317/3,"Carcinoma de células renales, tipo cromófobo"
8317/3,Carcinoma renal de células cromófobas
8317/3,Tumor cromófobo oncocítico híbrido
8318/3,"Carcinoma de células renales, sarcomatoide"
8318/3,"Carcinoma de células renales, células fusiformes"
8319/3,Carcinoma de conductos colectores
8319/3,Carcinoma de conductos de Bellini
8319/3,"Carcinoma renal, tipo conducto colector"
8320/3,Carcinoma de células granulares
8320/3,Adenocarcinoma de células granulares
